DATE,TIME,ASN,PREFIX,FREQ
20191201,0600,AS17813,120.56.0.0/16,127
20191201,1000,AS17813,120.56.0.0/16,127
20191201,1600,AS17813,120.56.0.0/16,127
20191201,2000,AS17813,120.56.0.0/16,127
20191202,0600,AS17813,120.56.0.0/16,127
20191202,1000,AS17813,120.56.0.0/16,127
20191202,1600,AS17813,120.56.0.0/16,127
20191202,2000,AS17813,120.56.0.0/16,127
20191203,0600,AS17813,120.56.0.0/16,129
20191203,1000,AS17813,120.56.0.0/16,129
20191203,1600,AS17813,120.56.0.0/16,129
20191203,2000,AS17813,120.56.0.0/16,129
20191204,0600,AS17813,120.56.0.0/16,129
20191204,1000,AS17813,120.56.0.0/16,129
20191204,1600,AS17813,120.56.0.0/16,128
20191204,2000,AS17813,120.56.0.0/16,128
20191205,0600,AS17813,120.56.0.0/16,129
20191205,1000,AS17813,120.56.0.0/16,129
20191205,1600,AS17813,120.56.0.0/16,128
20191205,2000,AS17813,120.56.0.0/16,128
20191206,0600,AS17813,120.56.0.0/16,129
20191206,1000,AS17813,120.56.0.0/16,129
20191206,1600,AS17813,120.56.0.0/16,129
20191206,2000,AS17813,120.56.0.0/16,129
20191207,0600,AS17813,120.56.0.0/16,129
20191207,1000,AS17813,120.56.0.0/16,129
20191207,1600,AS17813,120.56.0.0/16,129
20191207,2000,AS17813,120.56.0.0/16,129
20191208,0600,AS17813,120.56.0.0/16,129
20191208,1000,AS17813,120.56.0.0/16,129
20191208,1600,AS17813,120.56.0.0/16,129
20191208,2000,AS17813,120.56.0.0/16,127
20191209,0600,AS17813,120.56.0.0/16,128
20191209,1000,AS17813,120.56.0.0/16,128
20191209,1600,AS17813,120.56.0.0/16,128
20191209,2000,AS17813,120.56.0.0/16,128
20191210,0600,AS17813,120.56.0.0/16,128
20191210,1000,AS17813,120.56.0.0/16,128
20191210,1600,AS17813,120.56.0.0/16,128
20191210,2000,AS17813,120.56.0.0/16,128
20191211,0600,AS17813,120.56.0.0/16,128
20191211,1000,AS17813,120.56.0.0/16,128
20191211,1600,AS17813,120.56.0.0/16,128
20191211,2000,AS17813,120.56.0.0/16,128
20191212,0600,AS17813,120.56.0.0/16,128
20191212,1000,AS17813,120.56.0.0/16,128
20191212,1600,AS17813,120.56.0.0/16,128
20191212,2000,AS17813,120.56.0.0/16,128
20191213,0600,AS17813,120.56.0.0/16,128
20191213,1000,AS17813,120.56.0.0/16,128
20191213,1600,AS17813,120.56.0.0/16,113
20191213,2000,AS17813,120.56.0.0/16,128
20191214,0600,AS17813,120.56.0.0/16,128
20191214,1000,AS17813,120.56.0.0/16,128
20191214,1600,AS17813,120.56.0.0/16,127
20191214,2000,AS17813,120.56.0.0/16,128
20191215,0600,AS17813,120.56.0.0/16,127
20191215,1000,AS17813,120.56.0.0/16,127
20191215,1600,AS17813,120.56.0.0/16,128
20191215,2000,AS17813,120.56.0.0/16,128
20191216,0600,AS17813,120.56.0.0/16,128
20191216,1000,AS17813,120.56.0.0/16,128
20191216,1600,AS17813,120.56.0.0/16,127
20191216,2000,AS17813,120.56.0.0/16,127
20191217,0600,AS17813,120.56.0.0/16,126
20191217,1000,AS17813,120.56.0.0/16,126
20191217,1600,AS17813,120.56.0.0/16,126
20191217,2000,AS17813,120.56.0.0/16,127
20191218,0600,AS17813,120.56.0.0/16,127
20191218,1000,AS17813,120.56.0.0/16,127
20191218,1600,AS17813,120.56.0.0/16,126
20191218,2000,AS17813,120.56.0.0/16,126
20191219,0600,AS17813,120.56.0.0/16,127
20191219,1000,AS17813,120.56.0.0/16,127
20191219,1600,AS17813,120.56.0.0/16,126
